text,label
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Tue?,ADMIN_INFO
Is the clinic open on Wed?,ADMIN_INFO
When does the clinic close on Thu?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Aetna?,ADMIN_INFO
Is Blue Shield covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Thu?,ADMIN_INFO
Is the clinic open on Fri?,ADMIN_INFO
When does the clinic close on Sat?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Kaiser?,ADMIN_INFO
Is Anthem covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Sat?,ADMIN_INFO
Is the clinic open on Sun?,ADMIN_INFO
When does the clinic close on Mon?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Mon?,ADMIN_INFO
Is the clinic open on Tue?,ADMIN_INFO
When does the clinic close on Wed?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Aetna?,ADMIN_INFO
Is Blue Shield covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Wed?,ADMIN_INFO
Is the clinic open on Thu?,ADMIN_INFO
When does the clinic close on Fri?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Kaiser?,ADMIN_INFO
Is Anthem covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Fri?,ADMIN_INFO
Is the clinic open on Sat?,ADMIN_INFO
When does the clinic close on Sun?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Sun?,ADMIN_INFO
Is the clinic open on Mon?,ADMIN_INFO
When does the clinic close on Tue?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Aetna?,ADMIN_INFO
Is Blue Shield covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Tue?,ADMIN_INFO
Is the clinic open on Wed?,ADMIN_INFO
When does the clinic close on Thu?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Kaiser?,ADMIN_INFO
Is Anthem covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Thu?,ADMIN_INFO
Is the clinic open on Fri?,ADMIN_INFO
When does the clinic close on Sat?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Sat?,ADMIN_INFO
Is the clinic open on Sun?,ADMIN_INFO
When does the clinic close on Mon?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Aetna?,ADMIN_INFO
Is Blue Shield covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Mon?,ADMIN_INFO
Is the clinic open on Tue?,ADMIN_INFO
When does the clinic close on Wed?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Kaiser?,ADMIN_INFO
Is Anthem covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Wed?,ADMIN_INFO
Is the clinic open on Thu?,ADMIN_INFO
When does the clinic close on Fri?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Fri?,ADMIN_INFO
Is the clinic open on Sat?,ADMIN_INFO
When does the clinic close on Sun?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Aetna?,ADMIN_INFO
Is Blue Shield covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Sun?,ADMIN_INFO
Is the clinic open on Mon?,ADMIN_INFO
When does the clinic close on Tue?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Kaiser?,ADMIN_INFO
Is Anthem covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Tue?,ADMIN_INFO
Is the clinic open on Wed?,ADMIN_INFO
When does the clinic close on Thu?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Thu?,ADMIN_INFO
Is the clinic open on Fri?,ADMIN_INFO
When does the clinic close on Sat?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Aetna?,ADMIN_INFO
Is Blue Shield covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Sat?,ADMIN_INFO
Is the clinic open on Sun?,ADMIN_INFO
When does the clinic close on Mon?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Kaiser?,ADMIN_INFO
Is Anthem covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Mon?,ADMIN_INFO
Is the clinic open on Tue?,ADMIN_INFO
When does the clinic close on Wed?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Wed?,ADMIN_INFO
Is the clinic open on Thu?,ADMIN_INFO
When does the clinic close on Fri?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Aetna?,ADMIN_INFO
Is Blue Shield covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Fri?,ADMIN_INFO
Is the clinic open on Sat?,ADMIN_INFO
When does the clinic close on Sun?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Kaiser?,ADMIN_INFO
Is Anthem covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Sun?,ADMIN_INFO
Is the clinic open on Mon?,ADMIN_INFO
When does the clinic close on Tue?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Tue?,ADMIN_INFO
Is the clinic open on Wed?,ADMIN_INFO
When does the clinic close on Thu?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Aetna?,ADMIN_INFO
Is Blue Shield covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Thu?,ADMIN_INFO
Is the clinic open on Fri?,ADMIN_INFO
When does the clinic close on Sat?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Kaiser?,ADMIN_INFO
Is Anthem covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Sat?,ADMIN_INFO
Is the clinic open on Sun?,ADMIN_INFO
When does the clinic close on Mon?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Mon?,ADMIN_INFO
Is the clinic open on Tue?,ADMIN_INFO
When does the clinic close on Wed?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Aetna?,ADMIN_INFO
Is Blue Shield covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Wed?,ADMIN_INFO
Is the clinic open on Thu?,ADMIN_INFO
When does the clinic close on Fri?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept Kaiser?,ADMIN_INFO
Is Anthem covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Fri?,ADMIN_INFO
Is the clinic open on Sat?,ADMIN_INFO
When does the clinic close on Sun?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
Where is Sunrise Family Medicine located?,ADMIN_INFO
Can you give me the phone number for Sunrise Family Medicine?,ADMIN_INFO
What is the fax number for Sunrise Family Medicine?,ADMIN_INFO
How do I contact the patient portal support?,ADMIN_INFO
What is the patient portal website?,ADMIN_INFO
Do you accept UnitedHealthcare?,ADMIN_INFO
Is Cigna covered at Sunrise Family Medicine?,ADMIN_INFO
What are the parking details at Sunrise Family Medicine?,ADMIN_INFO
Can I walk in without an appointment?,ADMIN_INFO
Do you allow same-day appointments?,ADMIN_INFO
Is the clinic open on weekends?,ADMIN_INFO
What are the office hours for Sunrise Family Medicine?,ADMIN_INFO
What are the hours on Sun?,ADMIN_INFO
Is the clinic open on Mon?,ADMIN_INFO
When does the clinic close on Tue?,ADMIN_INFO
What is the address of Sunrise Family Medicine?,ADMIN_INFO
